jogador_slug,profissionalismo,ambicao,lealdade,temperamento,lideranca,regularidade,propensao_lesao,resistencia_pressao
caio-cavalcanti-tavares,58,72,75,40,37,86,54,38
igor-medeiros-dantas,85,53,66,51,57,77,57,42
caio-fonseca-farias,75,85,47,62,38,42,45,50
kleber-albuquerque-furtado,37,67,54,79,49,37,50,65
mateus-meireles-queiroz,53,71,41,83,56,62,61,89
marcelo-furtado-farias,62,84,56,67,49,84,50,45
wallace-magalhaes-moraes,52,36,61,87,54,54,56,61
nathan-andrade-pontes,40,39,38,49,59,40,55,48
patrick-andrade-furtado,80,63,45,50,46,55,72,65
thiago-rezende-farias,56,57,75,64,39,74,71,63
gabriel-meireles-macedo,84,41,64,49,86,85,64,53
nathan-moraes-farias,43,35,86,82,55,87,36,78
lucas-macedo-guimaraes,45,60,37,50,52,77,86,60
gustavo-moraes-lacerda,70,85,64,77,64,85,54,37
caio-furtado-freitas,73,42,70,41,49,85,66,38
henrique-peixoto-azevedo,42,74,83,45,61,53,88,38
samuel-braga-azevedo,56,60,81,43,66,52,58,69
henrique-azevedo-cavalcanti,37,76,37,83,46,42,36,54
danilo-moraes-siqueira,49,36,59,87,60,61,46,86
vinicius-correia-rabelo,62,86,64,53,68,73,79,75
anderson-siqueira-braga,47,75,79,69,48,42,44,47
marcelo-nogueira-medeiros,38,67,58,37,54,45,74,57
italo-rabelo-aragao,71,41,86,72,65,38,82,57
felipe-rabelo-esteves,89,39,71,69,37,48,69,61
otavio-magalhaes-medeiros,60,46,43,63,63,83,71,80
leandro-rabelo-siqueira,55,87,75,54,56,79,35,80
douglas-pontes-pacheco,36,40,49,62,65,48,45,58
alisson-guimaraes-nogueira,88,40,82,35,60,89,39,47
mateus-lacerda-freitas,73,76,50,38,45,89,63,50
eduardo-aragao-moraes,56,85,58,69,57,80,88,65
danilo-rezende-farias,44,81,63,53,62,63,71,70
alisson-rezende-fonseca,57,60,53,57,77,42,85,81
renan-macedo-pontes,64,41,36,49,57,89,35,68
italo-cavalcanti-fonseca,38,66,76,66,85,64,60,47
henrique-pontes-valadares,64,74,87,56,43,84,54,76
kleber-siqueira-cunha,88,43,41,64,83,39,61,54
thiago-azevedo-valadares,59,52,56,45,81,81,47,52
rafael-azevedo-queiroz,36,50,85,49,40,41,39,77
ricardo-lacerda-rezende,85,84,35,58,49,74,85,80
wesley-andrade-leite,54,75,60,54,75,47,48,64
gabriel-rabelo-andrade,85,39,87,63,55,88,74,44
otavio-vasconcelos-albuquerque,56,62,60,54,89,81,87,80
marcelo-queiroz-braga,62,36,55,80,68,51,81,47
ricardo-peixoto-leite,55,42,68,76,58,68,61,56
anderson-moraes-dantas,60,62,66,73,45,84,35,84
renan-furtado-cardoso,43,89,78,74,64,61,41,67
leandro-pacheco-meireles,41,43,79,51,75,63,51,55
diego-nogueira-moraes,61,88,46,35,57,47,64,52
rodrigo-peixoto-bezerra,39,84,62,70,72,35,35,60
bruno-azevedo-duarte,36,51,65,63,54,65,38,85
danilo-farias-ramalho,66,81,87,50,39,58,71,88
rodrigo-dantas-fonseca,81,54,89,83,47,76,52,54
kleber-andrade-azevedo,43,45,51,67,86,54,40,61
ricardo-meireles-queiroz,45,55,69,81,87,46,77,52
rafael-queiroz-ramalho,52,73,69,58,46,42,65,78
rafael-medeiros-farias,54,53,35,61,60,65,61,81
wallace-pontes-ramalho,41,62,54,72,74,55,46,47
patrick-bezerra-moraes,36,55,85,42,66,69,59,43
gabriel-lacerda-macedo,51,84,87,42,56,48,79,43
samuel-nogueira-peixoto,89,64,57,57,85,64,86,56
vinicius-pontes-freitas,76,75,56,58,74,42,79,57
samuel-braga-cardoso,58,55,87,69,65,74,77,59
yuri-xavier-pontes,44,67,77,86,35,35,73,79
renan-cavalcanti-rezende,68,47,56,58,82,83,36,70
eduardo-fonseca-nogueira,58,35,77,52,54,69,76,40
yuri-lacerda-marinho,88,40,86,48,81,40,42,50
gustavo-macedo-rabelo,80,82,68,67,64,55,46,85
douglas-peixoto-fonseca,43,46,37,62,85,89,44,76
nathan-pontes-albuquerque,75,86,64,74,85,54,79,56
lucas-andrade-cavalcanti,79,51,43,76,49,88,73,50
renan-moraes-aragao,45,87,38,49,41,68,89,79
ricardo-marinho-vasconcelos,46,73,80,88,35,38,74,57
murilo-dantas-queiroz,76,35,76,42,40,37,85,79
lucas-peixoto-nogueira,49,75,56,37,89,43,63,50
mateus-vasconcelos-andrade,62,54,74,36,86,84,63,69
vinicius-duarte-esteves,52,55,66,38,63,77,41,61
fabricio-andrade-pacheco,84,74,50,70,40,68,36,71
mateus-pontes-valadares,37,36,50,61,37,41,66,41
mateus-pacheco-meireles,37,62,76,68,70,89,44,49
gabriel-magalhaes-albuquerque,39,67,88,44,86,79,84,60
wallace-rabelo-xavier,71,67,56,68,46,60,66,40
gustavo-macedo-aragao,49,85,75,60,41,80,84,88
caio-esteves-freitas,86,67,58,66,64,48,57,77
emerson-furtado-farias,45,77,51,53,60,49,64,50
leandro-lacerda-tavares,68,58,52,63,49,41,35,68
rafael-correia-lacerda,70,73,42,42,46,78,46,71
ricardo-duarte-albuquerque,48,50,70,55,56,59,86,67
marcelo-marinho-nogueira,47,50,81,40,46,81,39,45
