jogador_slug,caracteristica
caio-cavalcanti-tavares,ARMADOR
caio-cavalcanti-tavares,LIDER
caio-fonseca-farias,LIDER
caio-fonseca-farias,DESARME_LIMPO
wallace-magalhaes-moraes,ARMADOR
nathan-andrade-pontes,VOLEIO
patrick-andrade-furtado,CHUTE_DE_LONGE
patrick-andrade-furtado,MARCADOR_AGRESSIVO
gabriel-meireles-macedo,CHUTE_DE_LONGE
gabriel-meireles-macedo,PASSE_LONGO
nathan-moraes-farias,ESPECIALISTA_FALTA
gustavo-moraes-lacerda,ARMADOR
gustavo-moraes-lacerda,BICICLETA
henrique-peixoto-azevedo,CABECEIO_AEREO
danilo-moraes-siqueira,ESPECIALISTA_FALTA
vinicius-correia-rabelo,CHUTE_DE_LONGE
marcelo-nogueira-medeiros,ESPECIALISTA_PENALTI
italo-rabelo-aragao,LIDER
italo-rabelo-aragao,MARCADOR_AGRESSIVO
felipe-rabelo-esteves,CHUTE_COLOCADO
otavio-magalhaes-medeiros,VOLEIO
leandro-rabelo-siqueira,VOLEIO
douglas-pontes-pacheco,VOLEIO
alisson-guimaraes-nogueira,DRIBLADOR
alisson-guimaraes-nogueira,PASSE_LONGO
mateus-lacerda-freitas,DRIBLADOR
eduardo-aragao-moraes,BICICLETA
eduardo-aragao-moraes,DRIBLADOR
danilo-rezende-farias,CABECEIO_AEREO
danilo-rezende-farias,CHUTE_COLOCADO
alisson-rezende-fonseca,MARCADOR_AGRESSIVO
alisson-rezende-fonseca,ARMADOR
henrique-pontes-valadares,ESPECIALISTA_FALTA
kleber-siqueira-cunha,DESARME_LIMPO
thiago-azevedo-valadares,VOLEIO
rafael-azevedo-queiroz,CABECEIO_AEREO
ricardo-lacerda-rezende,PASSE_LONGO
ricardo-lacerda-rezende,LIDER
wesley-andrade-leite,CABECEIO_AEREO
gabriel-rabelo-andrade,DRIBLADOR
otavio-vasconcelos-albuquerque,LIDER
otavio-vasconcelos-albuquerque,ESPECIALISTA_FALTA
anderson-moraes-dantas,VOLEIO
anderson-moraes-dantas,CHUTE_DE_LONGE
renan-furtado-cardoso,CHUTE_DE_LONGE
leandro-pacheco-meireles,VOLEIO
diego-nogueira-moraes,ESPECIALISTA_FALTA
rodrigo-peixoto-bezerra,MARCADOR_AGRESSIVO
rodrigo-peixoto-bezerra,CHUTE_DE_LONGE
bruno-azevedo-duarte,CABECEIO_AEREO
bruno-azevedo-duarte,PASSE_LONGO
danilo-farias-ramalho,MARCADOR_AGRESSIVO
danilo-farias-ramalho,DRIBLADOR
patrick-bezerra-moraes,BICICLETA
patrick-bezerra-moraes,DESARME_LIMPO
gabriel-lacerda-macedo,DESARME_LIMPO
vinicius-pontes-freitas,PASSE_LONGO
vinicius-pontes-freitas,CHUTE_COLOCADO
