slug,nome_completo,nome_exibicao,data_nascimento,iso_pais,iso_segunda_nacionalidade,altura_cm,peso_kg,pe_preferido,posicao_principal,origem
caio-cavalcanti-tavares,Caio Cavalcanti Tavares,Caio Tavares,1992-05-11,BRA,,194,98,ESQUERDO,GOL,REAL
igor-medeiros-dantas,Igor Medeiros Dantas,Igor Dantas,2007-11-28,BRA,,187,83,DIREITO,GOL,REAL
caio-fonseca-farias,Caio Fonseca Farias,Caio Farias,2004-06-10,BRA,,187,86,DIREITO,GOL,REAL
kleber-albuquerque-furtado,Kleber Albuquerque Furtado,Kleber Furtado,1991-08-09,BRA,,195,92,DIREITO,ZAG,REAL
mateus-meireles-queiroz,Mateus Meireles Queiroz,Mateus Queiroz,2007-04-19,BRA,,187,84,ESQUERDO,ZAG,REAL
marcelo-furtado-farias,Marcelo Furtado Farias,Marcelo Farias,1996-12-28,BRA,,168,67,DIREITO,ZAG,REAL
wallace-magalhaes-moraes,Wallace Magalhães Moraes,Wallace Moraes,1999-12-13,BRA,,175,79,DIREITO,ZAG,REAL
nathan-andrade-pontes,Nathan Andrade Pontes,Nathan Pontes,2006-09-08,BRA,,187,85,DIREITO,LTD,REAL
patrick-andrade-furtado,Patrick Andrade Furtado,Patrick Furtado,2004-11-28,BRA,,190,93,DIREITO,LTD,REAL
thiago-rezende-farias,Thiago Rezende Farias,Thiago Farias,1997-04-06,BRA,,182,79,ESQUERDO,LTE,REAL
gabriel-meireles-macedo,Gabriel Meireles Macedo,Gabriel Macedo,1999-07-22,BRA,,177,73,ESQUERDO,LTE,REAL
nathan-moraes-farias,Nathan Moraes Farias,Nathan Farias,2000-08-07,BRA,,183,87,DIREITO,VOL,REAL
lucas-macedo-guimaraes,Lucas Macedo Guimarães,Lucas Guimarães,1989-05-12,BRA,,192,96,ESQUERDO,VOL,REAL
gustavo-moraes-lacerda,Gustavo Moraes Lacerda,Gustavo Lacerda,2000-06-06,BRA,,185,84,DIREITO,VOL,REAL
